year,month,totalcount,dollarrate,apparent_temperature_mean_celcius,sunshine_duration_seconds,rain_sum_mm,precipitation_hours,num_establishments,num_rooms,airpassengerfaresindex,consumerpriceindex,date,origincountry_encoded,tourism_revenue
2018,January,6636,-1.240913239,-0.006034115,0.538398987,-0.531594311,-0.382670923,-1.598409915,-1.620177589,0.961596997,2.547024678,01/01/2018,25,12874800000
2018,January,7501,-1.240913239,-0.006034115,0.538398987,-0.531594311,-0.382670923,-1.598409915,-1.620177589,0.961596997,-0.48302438,01/01/2018,27,12874800000
2018,January,9452,-1.240913239,-0.006034115,0.538398987,-0.531594311,-0.382670923,-1.598409915,-1.620177589,0.961596997,-0.508071009,01/01/2018,0,12874800000
2018,January,11569,-1.240913239,-0.006034115,0.538398987,-0.531594311,-0.382670923,-1.598409915,-1.620177589,0.961596997,0.836093956,01/01/2018,20,12874800000
2018,January,12221,-1.240913239,-0.006034115,0.538398987,-0.531594311,-0.382670923,-1.598409915,-1.620177589,0.961596997,-0.761688363,01/01/2018,6,12874800000
2018,January,6124,-1.240913239,-0.006034115,0.538398987,-0.531594311,-0.382670923,-1.598409915,-1.620177589,0.961596997,-0.840591027,01/01/2018,15,12874800000
2018,January,22940,-1.240913239,-0.006034115,0.538398987,-0.531594311,-0.382670923,-1.598409915,-1.620177589,0.961596997,-0.697407467,01/01/2018,26,12874800000
2018,January,24275,-1.240913239,-0.006034115,0.538398987,-0.531594311,-0.382670923,-1.598409915,-1.620177589,0.961596997,-0.935578706,01/01/2018,4,12874800000
2018,January,37936,-1.240913239,-0.006034115,0.538398987,-0.531594311,-0.382670923,-1.598409915,-1.620177589,0.961596997,0.059938365,01/01/2018,8,12874800000
2018,January,15298,-1.240913239,-0.006034115,0.538398987,-0.531594311,-0.382670923,-1.598409915,-1.620177589,0.961596997,-0.878229394,01/01/2018,7,12874800000
